Name,Price,Year,Engine,Distance,City
Nissan Note,15 100 AZN,2016,1.2 L,52 000 km,Bakı
Nissan Note,15 300 AZN,2016,1.2 L,37 000 km,Bakı
Hyundai Sonata,15 300 AZN,2006,2.4 L,230 000 km,Bakı
LADA (VAZ) 2106,1 700 AZN,1988,1.5 L,99 000 km,Qax
Nissan Note,15 100 AZN,2015,1.2 L,54 000 km,Bakı
Nissan Note,14 900 AZN,2016,1.2 L,32 000 km,Bakı
Nissan Note,15 400 AZN,2016,1.2 L,52 000 km,Bakı
Chevrolet Cobalt,22 500 AZN,2023,1.5 L,7 100 km,Bakı
Khazar SD,18 500 AZN,2022,1.7 L,160 000 km,Bakı
LADA (VAZ) 21011,2 800 AZN,1984,1.3 L,80 000 km,Saatlı
Land Rover Range Rover,25 600 $,2011,5.0 L,195 000 km,Bakı
Geely Okavango,39 900 AZN,2023,1.5 L,0 km,Bakı
Toyota Highlander,51 540 $,2023,2.5 L,0 km,Bakı
Karry Dolphin,47 000 AZN,2022,0.0 L,0 km,Bakı
Mercedes GLS 450 4MATIC,88 500 $,2019,3.0 L,70 400 km,Bakı
Chevrolet Aveo,11 900 AZN,2013,1.4 L,150 900 km,Bakı
Toyota Avalon,14 500 AZN,2008,3.5 L,379 000 km,Bakı
Opel Astra,21 500 AZN,2018,1.6 L,226 562 km,Bakı
Nissan Note,15 950 AZN,2017,1.2 L,32 523 km,Bakı
Toyota Camry,24 000 $,2017,2.5 L,147 800 km,Bakı
Nissan Note,20 600 AZN,2017,1.2 L,53 700 km,Bakı
Land Rover RR Sport,15 500 $,2008,2.7 L,360 000 km,Bakı
Hyundai Grandeur,33 300 AZN,2015,2.2 L,197 000 km,Bakı
Toyota Prius,10 600 AZN,2008,1.5 L,235 000 km,Bakı
Volkswagen Amarok,67 555 $,2019,3.0 L,62 000 km,Bakı
DAF XF 480,115 000 AZN,2017,12 L,755 068 km,Bakı
Chevrolet Aveo,13 000 AZN,2015,1.4 L,263 000 km,Bakı
Mercedes 190,3 400 AZN,1991,2.0 L,253 377 km,Bərdə
Opel Astra,7 300 AZN,1998,1.6 L,217 000 km,Gəncə
Hyundai Elantra,13 900 AZN,2007,2.0 L,310 000 km,Bakı
Hyundai Elantra,17 800 AZN,2014,1.8 L,130 000 km,Sumqayıt
Ford Transit,18 900 AZN,2001,2.4 L,370 000 km,Cəlilabad
Changan Deepal S7,29 400 $,2024,1.5 L,0 km,Bakı
Jeep Grand Cherokee,7 000 AZN,1995,4.0 L,567 890 km,Gəncə
Volkswagen ID.4,59 900 AZN,2023,0.0 L,0 km,Bakı
DAF XF 460 FT,104 000 AZN,2015,12 L,776 938 km,Bakı
Opel Vectra,2 400 AZN,1996,1.6 L,470 000 km,Bakı
Nissan Sentra,23 500 AZN,2019,1.8 L,97 526 km,Bakı
Kia Sorento,43 000 AZN,2016,2.0 L,148 000 km,Bakı
Toyota Prius,12 500 AZN,2008,1.5 L,252 023 km,Xırdalan
Jeep Grand Cherokee,19 900 AZN,2002,4.7 L,180 000 km,Bakı
Kia Cerato,22 300 AZN,2016,2.0 L,98 975 km,Bakı
Audi Q7,19 500 AZN,2008,4.2 L,282 000 km,Neftçala
Opel Astra,4 600 AZN,1995,1.6 L,278 000 km,Bakı
BMW 528,10 900 AZN,1999,2.8 L,273 000 km,İsmayıllı
BMW 320e,23 800 $,2017,2.0 L,201 000 km,Bakı
Audi Q7,10 500 $,2006,4.2 L,262 420 km,Bakı
Kia Sportage,48 900 AZN,2023,2.0 L,0 km,Bakı
Voyah Passion,45 900 $,2024,1.5 L,0 km,Bakı
Toyota Land Cruiser,99 999 $,2023,3.5 L,24 000 km,Bakı
Mazda CX-5,42 900 $,2023,2.5 L,0 km,Bakı
Land Rover Range Rover,63 000 $,2016,3.0 L,149 000 km,Bakı
Land Rover Range Rover,52 000 $,2016,3.0 L,98 000 km,Bakı
LADA (VAZ) 2107,4 300 AZN,2005,1.6 L,99 000 km,Bakı
Toyota Camry,24 300 $,2019,2.5 L,128 000 km,Bakı
BMW 328,25 300 AZN,2015,2.0 L,109 000 km,Bakı
BMW 328,15 700 $,2013,2.0 L,107 000 km,Bakı
Mercedes C 200,7 700 AZN,1996,2.0 L,325 148 km,Bakı
Volkswagen Passat,7 700 AZN,2004,1.8 L,173 123 km,Sumqayıt
Kia Rio,11 500 AZN,2008,1.4 L,280 000 km,Bakı
Mercedes GLE 450 4MATIC,118 498 €,2024,3.0 L,0 km,Bakı
BMW X5,24 800 AZN,2006,4.8 L,280 000 km,Bakı
LADA (VAZ) 2107,4 600 AZN,1999,1.6 L,57 536 km,Beyləqan
Nissan Note,16 200 AZN,2015,1.2 L,71 478 km,Bakı
Haval Jolion,44 900 AZN,2023,1.5 L,0 km,Bakı
Volkswagen Touareg,119 900 AZN,2024,2.0 L,0 km,Bakı
Mercedes C 220 d,11 500 AZN,1999,2.2 L,730 000 km,Sumqayıt
Mercedes E 220 d,16 900 AZN,2000,2.2 L,325 000 km,Bakı
Mercedes C 230,13 900 AZN,1999,2.3 L,260 000 km,Saatlı
Kia Sorento,43 900 AZN,2015,2.2 L,197 300 km,Bakı
LADA (VAZ) 2115,4 600 AZN,2001,1.6 L,555 440 km,Bakı
Nissan Note,19 200 AZN,2018,1.2 L,64 556 km,Bakı
Kia Optima,28 800 AZN,2019,1.6 L,112 000 km,Bakı
Kia Ceed,13 500 AZN,2008,1.6 L,243 000 km,Sumqayıt
Haval H6,46 900 AZN,2023,2.0 L,0 km,Bakı
Volkswagen Touareg,132 900 AZN,2024,2.0 L,0 km,Bakı
BMW 528,22 300 $,2015,2.0 L,73 000 km,Bakı
Mercedes GLS 450 4MATIC,88 500 $,2019,3.0 L,70 400 km,Bakı
BMW X5,55 555 $,2017,4.4 L,72 000 km,Bakı
Changan Qiyuan A05,20 900 $,2024,1.5 L,0 km,Bakı
Haval H6,49 900 AZN,2023,2.0 L,0 km,Bakı
Mercedes Actros 1844,120 000 AZN,2011,12 L,980 000 km,Bakı
GAZ 322173,12 000 AZN,2003,2.5 L,329 365 km,Gəncə
Suzuki S-Cross,42 000 AZN,2023,1.4 L,0 km,Bakı
Genesis GV80,180 000 AZN,2023,2.5 L,0 km,Bakı
Volvo S60,49 192 €,2023,2.0 L,0 km,Bakı
Lexus ES 300h,49 700 $,2023,2.5 L,0 km,Bakı
Chevrolet Aveo,9 700 AZN,2011,1.2 L,221 400 km,Bakı
Toyota Prius,9 800 AZN,2007,1.5 L,327 000 km,Bakı
Hyundai Elantra,23 500 AZN,2015,1.8 L,165 322 km,Bakı
Toyota Land Cruiser Prado,32 500 $,2016,2.7 L,166 600 km,Bakı
DAF XF 480,115 000 AZN,2017,12 L,755 068 km,Bakı
Land Rover RR Sport,99 500 €,2022,2.0 L,44 000 km,Bakı
Toyota Prius,7 900 AZN,2007,1.5 L,300 000 km,Bakı
Opel Astra,11 199 AZN,2009,1.4 L,185 000 km,Bakı
Haval Dargo,52 900 AZN,2023,2.0 L,0 km,Bakı
Nissan Tiida,14 300 AZN,2011,1.6 L,45 000 km,Şəki
Voyah Dream,66 900 $,2024,1.5 L,0 km,Bakı
Jeep Wrangler,20 500 $,2007,3.8 L,142 753 km,Bakı
LADA (VAZ) 2115,6 800 AZN,2009,1.6 L,247 211 km,Şəmkir
Volkswagen Passat,5 700 AZN,2003,1.8 L,264 986 km,Bakı
Land Rover Range Rover,209 500 $,2023,3.0 L,0 km,Bakı
BMW 520,37 500 AZN,2015,2.0 L,160 000 km,Bakı
Hyundai Grandeur,28 500 AZN,2013,3.0 L,177 000 km,Bakı
Honda Insight,13 850 AZN,2010,1.3 L,224 000 km,Bakı
Renault Megane,6 700 AZN,2007,1.5 L,315 000 km,Şəmkir
BMW 330,23 900 $,2017,2.0 L,88 160 km,Bakı
BMW 328,21 500 $,2015,2.0 L,139 800 km,Bakı
LADA (VAZ) Niva,9 500 AZN,2012,1.7 L,151 000 km,Lənkəran
Infiniti Q70,21 500 $,2013,3.7 L,165 000 km,Bakı
Porsche Cayenne,33 700 AZN,2010,4.8 L,131 000 km,Bakı
Kia Sportage,34 800 AZN,2015,2.0 L,130 000 km,Bakı
Hyundai Accent,10 800 AZN,2008,1.5 L,328 000 km,Bakı
Mercedes E 240,17 200 AZN,2003,2.4 L,291 500 km,Masallı
Hyundai H-1,17 800 AZN,2009,2.5 L,253 000 km,Bakı
Chevrolet Cruze,16 800 AZN,2016,1.4 L,210 000 km,Masallı
Porsche Panamera GTS,37 900 $,2014,4.8 L,167 000 km,Bakı
Land Rover RR Velar,62 000 $,2019,2.0 L,32 000 km,Bakı
Hyundai Santa Fe,34 200 AZN,2015,2.0 L,163 000 km,Bakı
Mercedes GLS 450 4MATIC,88 500 $,2019,3.0 L,70 400 km,Bakı
Lexus ES 300h,51 500 $,2023,2.5 L,0 km,Bakı
DFSK Glory 330 S,26 900 AZN,2023,1.5 L,0 km,Bakı
Mercedes GL 500,39 800 $,2014,4.7 L,198 000 km,Bakı
Hyundai Elantra,25 500 AZN,2017,2.0 L,150 000 km,Bakı
Mercedes E 270,18 500 AZN,2001,2.7 L,465 000 km,İmişli
Toyota Prius,9 400 AZN,2008,1.5 L,290 000 km,Bakı
Volkswagen Passat,17 200 AZN,2012,1.8 L,206 000 km,Bakı
Mercedes E 220 d,29 500 AZN,2012,2.2 L,236 000 km,Bakı
Mercedes S 550 e,67 300 $,2017,3.0 L,128 000 km,Bakı
Toyota Prius,11 100 AZN,2008,1.5 L,350 000 km,Bakı
BMW 740,20 400 AZN,2007,4.0 L,258 820 km,Bakı
Hyundai Veloster,28 900 AZN,2019,2.0 L,80 000 km,Bakı
Jeep Wrangler,49 500 $,2021,2.0 L,15 150 km,Bakı
Toyota Land Cruiser Prado,33 000 $,2014,2.7 L,138 000 km,Bakı
Hyundai Sonata,28 500 AZN,2015,2.0 L,171 024 km,Bakı
Mercedes E 230,9 800 AZN,1996,2.3 L,354 600 km,Bakı
Mercedes Sprinter 316,53 500 AZN,2012,2.2 L,629 000 km,Bakı
Renault Megane,14 000 AZN,2011,1.6 L,226 626 km,Bakı
LADA (VAZ) 2107,18 500 AZN,2012,1.6 L,54 000 km,Bakı
BMW 328,27 500 AZN,2014,2.0 L,326 000 km,Gəncə
Mercedes E 220 d,34 900 $,2017,2.2 L,115 000 km,Bakı
Mercedes S 600,14 900 $,2006,6.0 L,170 000 km,Bakı
BMW X5,25 294 $,2010,3.0 L,244 435 km,Bakı
LADA (VAZ) 2107,4 300 AZN,2005,1.6 L,99 000 km,Bakı
LADA (VAZ) 2106,3 200 AZN,1986,1.5 L,91 847 km,Saatlı
HOWO Sinotruk,48 000 AZN,2011,9.5 L,370 000 km,Bakı
Toyota Prius,10 700 AZN,2006,1.5 L,229 000 km,Bakı
Toyota Prius,10 000 AZN,2007,1.5 L,320 000 km,Bakı
Kia Stinger,26 500 $,2020,2.0 L,75 000 km,Bakı
Kia Sorento,38 900 AZN,2015,2.0 L,165 000 km,Bakı
Avatr 11,46 200 $,2024,0.0 L,0 km,Bakı
Opel Meriva,8 500 AZN,2005,1.4 L,290 000 km,Bakı
BMW 520,35 500 AZN,2013,2.0 L,175 000 km,Bakı
Hyundai Elantra,20 500 AZN,2015,1.8 L,163 831 km,Bakı
LADA (VAZ) 2107,3 100 AZN,2010,1.6 L,91 847 km,Bakı
Peugeot 3008,48 900 AZN,2022,1.6 L,0 km,Bakı
Mercedes 190,5 000 AZN,1991,2.0 L,425 080 km,Sumqayıt
Jaguar I-Pace,107 900 $,2023,0.0 L,0 km,Bakı
BMW X6 M,119 000 $,2020,4.4 L,26 000 km,Bakı
BMW 530,29 500 $,2017,2.0 L,103 000 km,Gəncə
Kia Sportage,33 900 AZN,2020,2.4 L,25 000 km,Sumqayıt
Toyota Corolla,26 900 AZN,2017,1.8 L,127 975 km,Bakı
Hyundai Elantra,27 000 AZN,2020,2.0 L,111 046 km,Bakı
Chevrolet Equinox,23 000 AZN,2018,1.5 L,96 000 km,Bakı
Hyundai Sonata,39 800 AZN,2020,1.6 L,52 677 km,Bakı
Kia Sorento,38 500 AZN,2014,2.0 L,155 102 km,Bakı
Toyota Prius,12 900 AZN,2008,1.5 L,293 900 km,Bakı
Haval H6,50 900 AZN,2023,1.5 L,0 km,Bakı
Kia Optima,26 500 AZN,2015,2.0 L,102 232 km,Bakı
Mercedes C 220 d,13 800 AZN,1999,2.2 L,352 000 km,Bakı
Land Rover Range Rover,31 000 AZN,2008,4.2 L,185 000 km,Bakı
Hyundai Elantra,25 500 AZN,2018,2.0 L,73 000 km,Bakı
Mercedes G 55 AMG,53 900 $,2010,5.4 L,110 000 km,Bakı
Mercedes S 550 e,67 300 $,2017,3.0 L,128 000 km,Bakı
Chevrolet Malibu,22 000 AZN,2019,1.5 L,66 000 km,Bakı
Mercedes 190,4 300 AZN,1991,1.8 L,428 200 km,Bakı
Haval M6,35 900 AZN,2023,1.5 L,0 km,Bakı
Opel Vectra,5 000 AZN,1996,1.8 L,397 000 km,Sumqayıt
Kia Rio,11 600 AZN,2007,1.5 L,248 047 km,Bakı
Chevrolet Equinox,21 700 AZN,2017,1.5 L,150 000 km,Bakı
Nissan Note,15 800 AZN,2015,1.2 L,42 000 km,Bakı
Lexus ES 250,36 500 $,2019,2.5 L,150 000 km,Bakı
Haval H6,53 900 AZN,2024,1.5 L,0 km,Bakı
LADA (VAZ) 2107,5 500 AZN,2005,1.6 L,99 000 km,Bakı
Hyundai Elantra,21 300 AZN,2015,1.8 L,122 000 km,Bakı
Kia Rio,9 800 AZN,2005,1.5 L,440 km,Bakı
Hyundai Accent,15 800 AZN,2014,1.6 L,22 000 km,Sumqayıt
Haval Jolion,44 900 AZN,2023,1.5 L,0 km,Bakı
Haval M6,35 900 AZN,2023,1.5 L,0 km,Bakı
BMW 520,35 900 AZN,2014,2.0 L,205 000 km,Bakı
Hyundai Accent,21 800 AZN,2016,1.6 L,125 400 km,Bakı
Volvo XC60,66 030 €,2024,2.0 L,0 km,Bakı
Hyundai i20,26 900 AZN,2023,1.0 L,39 000 km,Bakı
BMW 330,34 000 $,2019,2.0 L,109 000 km,Bakı
Li Auto L9,71 900 $,2024,1.5 L,0 km,Bakı
Toyota RAV4,45 900 AZN,2020,2.0 L,42 000 km,Bakı
BMW 530,30 800 $,2017,2.0 L,83 000 km,Bakı
Ford Transit,19 800 AZN,2010,2.2 L,149 350 km,Bakı
BMW X5,38 000 $,2016,2.0 L,98 000 km,Bakı
Hyundai Sonata,28 000 AZN,2014,2.4 L,151 000 km,Bakı
BMW X7,112 800 $,2019,4.4 L,29 000 km,Bakı
Infiniti FX35,18 500 $,2013,3.5 L,150 000 km,Bakı
Ford Transit,24 500 AZN,2010,2.4 L,237 000 km,Bakı
Kia Carens,15 000 AZN,2007,2.0 L,460 000 km,Bakı
Land Rover Range Rover,54 500 $,2016,3.0 L,145 000 km,Bakı
Nissan Note,14 900 AZN,2016,1.2 L,43 000 km,Bakı
Mercedes GLS 450 4MATIC,89 000 $,2019,3.0 L,85 000 km,Bakı
Nissan Note,17 777 AZN,2015,1.2 L,52 000 km,Bakı
Nissan Note,14 800 AZN,2015,1.2 L,46 000 km,Bakı
Volkswagen Touareg,8 300 AZN,2004,3.2 L,189 054 km,Bakı
LADA (VAZ) 2106,3 100 AZN,1987,1.5 L,99 000 km,Şirvan
LADA (VAZ) 2107,4 500 AZN,2006,1.6 L,69 911 km,Qəbələ
Nissan Note,15 800 AZN,2015,1.2 L,26 000 km,Bakı
Land Rover Range Rover,65 500 $,2017,3.0 L,86 100 km,Bakı
Mercedes Vito 115,27 800 AZN,2008,2.2 L,495 843 km,Sumqayıt
Audi Q7,19 900 $,2012,3.0 L,159 000 km,Bakı
LADA (VAZ) 2106,2 900 AZN,1988,1.5 L,91 748 km,Şəmkir
BMW 530,34 500 $,2018,2.0 L,63 000 km,Bakı
Mercedes E 280,17 000 AZN,2007,3.0 L,355 000 km,Bakı
Kia Rio,19 800 AZN,2014,1.4 L,209 024 km,Bakı
BMW 430,29 900 $,2018,2.0 L,79 000 km,Bakı
Hyundai Tucson,37 000 AZN,2017,2.0 L,117 000 km,Bakı
Mitsubishi Pajero,12 900 AZN,1995,2.8 L,300 000 km,Bakı
Kia Picanto,16 000 AZN,2016,1.0 L,172 732 km,Bakı
BMW 535,33 500 AZN,2012,3.0 L,161 900 km,Bakı
LADA (VAZ) 2107,3 800 AZN,1999,1.6 L,391 748 km,Xızı
Hyundai Accent,17 900 AZN,2017,1.6 L,124 000 km,Bakı
Mercedes GLB 200 4MATIC,58 393 €,2023,1.4 L,0 km,Bakı
IM LS7,64 700 $,2024,0.0 L,0 km,Bakı
Ford Ranger,101 900 AZN,2023,2.0 L,0 km,Bakı
FAW Tiger VR,32 500 AZN,2023,2.3 L,0 km,Bakı
Mercedes S 600,26 000 AZN,2006,6.0 L,204 000 km,Bakı
Li Auto L9,62 500 $,2023,1.5 L,4 300 km,Bakı
Hyundai Grandeur,32 800 AZN,2016,2.2 L,160 243 km,Bakı
Mercedes E 220 d,57 000 $,2021,2.2 L,29 000 km,Bakı
Isuzu NMR 85 H,69 000 AZN,2022,3.0 L,3 934 km,Bakı
Hyundai Elantra,21 500 AZN,2016,2.0 L,94 000 km,Bakı
Kia Sorento,40 500 AZN,2015,2.0 L,200 000 km,Bakı
Nissan X-Trail,36 850 AZN,2019,2.0 L,12 500 km,Bakı
Hyundai Elantra,22 600 AZN,2012,1.8 L,198 012 km,Bakı
Mercedes 190,6 000 AZN,1992,2.0 L,470 000 km,Oğuz
Land Rover Discovery,43 500 AZN,2011,3.0 L,166 000 km,Bakı
Hyundai Elantra,15 800 AZN,2011,1.8 L,158 000 km,Bakı
BMW 535,10 500 AZN,2000,3.5 L,165 000 km,Bakı
Hyundai Elantra,36 000 AZN,2020,2.0 L,41 800 km,Bakı
Mercedes E 220 d,29 800 $,2017,2.2 L,167 000 km,Bakı
Kia Sorento,27 300 AZN,2009,2.2 L,213 000 km,Bakı
Hyundai Sonata,12 900 AZN,2005,2.4 L,310 000 km,Lənkəran
Mercedes C 230,10 600 AZN,1997,2.3 L,287 000 km,Gəncə
Nissan Note,15 800 AZN,2016,1.2 L,45 000 km,Bakı
Hyundai Elantra,21 900 AZN,2015,1.8 L,122 000 km,Bakı
Mitsubishi Lancer,13 500 AZN,2008,2.0 L,211 000 km,Bakı
BMW 530,32 900 $,2017,2.0 L,101 000 km,Bakı
BMW 428,34 500 AZN,2015,2.0 L,109 000 km,Bakı
Kia Cerato,17 900 AZN,2011,2.0 L,150 000 km,Bakı
Nissan Note,15 400 AZN,2015,1.2 L,41 000 km,Bakı
Toyota Corolla Cross,54 000 AZN,2024,2.0 L,0 km,Bakı
Opel Astra,10 800 AZN,2005,1.4 L,498 000 km,Bakı
Nissan Note,15 600 AZN,2015,1.2 L,37 000 km,Bakı
Daewoo Gentra,10 700 AZN,2015,1.5 L,200 000 km,Bakı
Nissan Note,16 800 AZN,2018,1.2 L,57 000 km,Bakı
LADA (VAZ) 2106,3 900 AZN,1991,1.5 L,91 741 km,Bakı
Geely Emgrand,34 900 AZN,2024,1.5 L,0 km,Bakı
Nissan Note,16 700 AZN,2016,1.2 L,47 000 km,Bakı
BMW 540,55 000 $,2018,3.0 L,62 000 km,Bakı
Lexus LX 570,79 000 $,2016,5.7 L,150 000 km,Bakı
Maserati Grecale,72 400 €,2024,2.0 L,0 km,Bakı
BMW 328,19 800 $,2015,2.0 L,136 000 km,Bakı
Kia Sportage,25 800 AZN,2012,2.0 L,243 266 km,Bakı
Toyota Land Cruiser Prado,40 500 $,2018,2.7 L,265 000 km,Bakı
Mercedes Vito 111,22 500 AZN,2007,2.2 L,249 000 km,Bakı
Kia Sorento,38 500 AZN,2015,2.0 L,95 000 km,Bakı
BMW 328,32 000 AZN,2015,2.0 L,122 170 km,Bakı
Ford Mustang,23 500 $,2016,2.3 L,49 000 km,Bakı
Ford Fusion (North America),19 200 AZN,2017,1.5 L,132 800 km,Bakı
Nissan Note,16 700 AZN,2016,1.2 L,37 000 km,Bakı
Geely Emgrand,34 900 AZN,2024,1.5 L,0 km,Bakı
BMW 530,35 500 $,2019,2.0 L,13 000 km,Bakı
Mercedes S 500,13 500 AZN,2000,5.0 L,340 000 km,Bakı
Volkswagen Passat,23 000 $,2021,1.4 L,48 000 km,Bakı
Geely Monjaro,73 900 AZN,2024,2.0 L,0 km,Bakı
Nissan Note,16 800 AZN,2016,1.2 L,38 000 km,Bakı
Chevrolet Cruze,15 500 AZN,2015,1.4 L,264 000 km,Bakı
Geely Monjaro,74 900 AZN,2024,2.0 L,0 km,Bakı
Toyota Urban Cruiser,26 600 $,2023,1.5 L,0 km,Bakı
Nissan Note,16 300 AZN,2016,1.2 L,42 000 km,Bakı
Lexus RX 300,49 540 $,2022,2.0 L,5 502 km,Bakı
Land Rover RR Sport,39 900 $,2014,3.0 L,99 500 km,Bakı
Geely Monjaro,73 900 AZN,2024,2.0 L,0 km,Bakı
Geely Tugella,55 500 AZN,2023,2.0 L,0 km,Bakı
Nissan Note,16 500 AZN,2016,1.2 L,75 000 km,Bakı
Kia Sorento,41 500 AZN,2015,2.2 L,174 000 km,Bakı
Geely Tugella S,59 900 AZN,2023,2.0 L,0 km,Bakı
Hyundai Elantra,22 000 AZN,2015,1.8 L,115 700 km,Şəki
Toyota Prius,23 540 AZN,2015,1.8 L,159 360 km,Bakı
Geely Coolray,39 900 AZN,2023,1.5 L,0 km,Bakı
Ford Fusion (North America),31 500 AZN,2017,2.0 L,139 000 km,Bakı
Hyundai Elantra,20 500 AZN,2015,1.8 L,164 153 km,Gəncə
BMW 520,7 300 AZN,1997,2.0 L,494 000 km,Bakı
ZEEKR 007,38 900 $,2024,0.0 L,0 km,Bakı
Land Rover Range Rover,25 000 $,2011,5.0 L,193 000 km,Bakı
Ford Transit,107 600 AZN,2023,2.2 L,0 km,Bakı
Bestune NAT,19 500 $,2022,0.0 L,0 km,Bakı
Toyota Prius,12 000 AZN,2008,1.5 L,391 046 km,Bakı
Lexus ES 300h,43 500 $,2022,2.5 L,14 000 km,Bakı
Hyundai Sonata,25 500 AZN,2014,2.4 L,164 000 km,Bakı
Volkswagen Jetta,5 800 AZN,1999,2.0 L,185 000 km,Bakı
Hyundai Elantra,21 100 AZN,2011,1.8 L,147 000 km,Bakı
ZIL 130,11 800 AZN,1988,6.0 L,777 777 km,Şirvan
BMW 520,36 000 $,2018,2.0 L,99 873 km,Bakı
Kia Sorento,36 000 AZN,2016,2.2 L,220 000 km,Bakı
Hyundai Elantra,20 500 AZN,2015,1.8 L,164 153 km,Gəncə
BMW 520,7 300 AZN,1997,2.0 L,494 000 km,Bakı
LADA (VAZ) 2115,9 600 AZN,2009,1.6 L,105 000 km,Bakı
Toyota Prius,10 700 AZN,2006,1.5 L,504 529 km,Bakı
Nissan Note,16 700 AZN,2016,1.2 L,47 000 km,Bakı
Hyundai Elantra,19 900 AZN,2014,1.8 L,148 000 km,Bakı
Mercedes C 300,24 500 $,2016,2.0 L,160 000 km,Bakı
Kia EV6,43 500 $,2022,0.0 L,3 200 km,Bakı
Toyota Corolla,25 800 AZN,2013,1.6 L,158 000 km,Bakı
Ford Fusion (North America),19 200 AZN,2014,1.5 L,214 250 km,Bakı
Kia Cerato,21 700 AZN,2017,2.0 L,83 300 km,Bakı
Kia Sportage,34 800 AZN,2015,2.0 L,133 000 km,Bakı
Toyota Highlander,64 940 $,2023,2.4 L,0 km,Bakı
Hyundai Santa Fe,31 000 AZN,2015,2.0 L,282 566 km,Bakı
Toyota Corolla,14 200 AZN,2006,1.4 L,318 000 km,Bakı
Chevrolet Cruze,12 200 AZN,2011,1.4 L,158 000 km,Bakı
Toyota Tundra,49 000 $,2009,5.7 L,95 000 km,Bakı
Mercedes GLC 300,39 500 $,2017,2.0 L,82 000 km,Bakı
BMW X6 M,105 000 $,2022,3.0 L,35 000 km,Bakı
Toyota Land Cruiser Prado,23 500 AZN,2006,2.7 L,270 000 km,Bakı
BMW 328,21 500 $,2015,2.0 L,99 000 km,Bakı
Toyota Prius,12 900 AZN,2009,1.5 L,322 000 km,Bakı
Hyundai Santa Fe,55 900 AZN,2017,2.2 L,77 000 km,Bakı
Chevrolet Cruze,12 200 AZN,2015,1.4 L,202 543 km,Bakı
Jaguar F-Type S,39 900 $,2013,5.0 L,49 950 km,Bakı
LADA (VAZ) Niva,19 000 AZN,2023,1.7 L,0 km,Bakı
Ford Ranger,169 200 AZN,2023,3.0 L,0 km,Bakı
BMW M8,145 500 $,2021,4.4 L,2 000 km,Bakı
Nissan Tiida,15 200 AZN,2011,1.5 L,84 260 km,Bakı
Toyota Fortuner,29 900 AZN,2012,2.7 L,175 800 km,Bakı
Land Rover Range Rover,29 600 $,2011,5.0 L,120 000 km,Bakı
Volkswagen Jetta,5 800 AZN,1999,2.0 L,185 000 km,Bakı
GAZ Next,25 000 AZN,2018,2.7 L,148 471 km,Bakı
Chevrolet Aveo,11 900 AZN,2012,1.4 L,155 000 km,Bakı
Mercedes Actros 1846,69 500 AZN,2007,12 L,2 000 000 km,Bakı
Ford Transit,12 900 AZN,1999,2.5 L,350 000 km,Bakı
Hyundai Santa Fe,55 900 AZN,2017,2.2 L,77 000 km,Bakı
Chevrolet Cruze,12 200 AZN,2015,1.4 L,202 543 km,Bakı
Mercedes E 220 d,36 500 AZN,2013,2.2 L,195 000 km,Bakı
Lexus ES 300h,47 500 $,2022,2.5 L,51 000 km,Bakı
Toyota Land Cruiser Prado,31 700 AZN,2008,2.7 L,149 000 km,Bakı
Hyundai Elantra,22 500 AZN,2014,1.8 L,139 425 km,Bakı
BMW 330,23 500 $,2017,2.0 L,75 000 km,Bakı
KamAz 65115,25 000 AZN,2001,11 L,345 000 km,Masallı
MG RX8,51 500 AZN,2021,2.0 L,41 140 km,Bakı
Mercedes ML 300,30 000 $,2014,3.5 L,159 000 km,Bakı
Mercedes E 220 d,24 200 AZN,2009,2.2 L,409 076 km,Bakı
Chevrolet Cruze,12 900 AZN,2014,1.4 L,170 000 km,Bakı
Opel Astra,11 200 AZN,2006,1.4 L,2 681 115 km,Bakı
Mercedes E 270,15 850 AZN,2001,2.7 L,389 560 km,Bakı
Kia Sorento,31 700 AZN,2013,2.0 L,176 497 km,Bakı
Land Rover Range Rover,225 000 $,2022,4.4 L,16 000 km,Bakı
Hyundai i30,15 500 AZN,2009,1.6 L,192 300 km,Bakı
Jeep Wrangler,42 540 $,2020,2.0 L,69 777 km,Bakı
Hyundai Santa Fe,29 500 AZN,2013,2.0 L,177 km,Bakı
Toyota Prius,17 500 AZN,2010,1.8 L,287 km,Bakı
Toyota Corolla,16 600 AZN,2007,1.4 L,165 000 km,Bakı
Leapmotor C11,59 900 AZN,2024,0.0 L,0 km,Bakı
Nissan Altima,24 700 $,2019,2.5 L,29 000 km,Bakı
Leapmotor C11,59 900 AZN,2024,0.0 L,0 km,Bakı
Isuzu NPR75L-K,84 500 AZN,2023,5.2 L,0 km,Bakı
Land Rover Range Rover,84 500 $,2019,3.0 L,113 400 km,Bakı
Land Rover Range Rover,322 500 $,2023,4.4 L,0 km,Bakı
Opel Mokka,37 900 AZN,2023,1.2 L,0 km,Bakı
BMW X5,48 000 $,2017,3.0 L,145 000 km,Bakı
Mercedes S 500 e,62 500 $,2017,3.0 L,165 000 km,Bakı
Mercedes E 220 d,23 500 $,2015,2.2 L,183 000 km,Bakı
Hyundai Grandeur,35 500 AZN,2015,2.2 L,119 916 km,Bakı
Kia Soul,18 300 AZN,2017,1.6 L,162 322 km,Bakı
Mercedes C 270,12 500 AZN,2001,2.7 L,450 000 km,Bakı
Hyundai ix35,23 899 AZN,2010,2.0 L,226 000 km,Bakı
BMW 328,25 800 AZN,2014,2.0 L,340 000 km,Bakı
