Name,Price,Year,Engine,Distance,City
Porsche Cayenne Turbo,47 000 $,2015,4.8 L,168 000 km,Bakı
Avatr 12,55 999 $,2024,0.0 L,0 km,Bakı
Land Rover Range Rover,44 000 $,2016,3.0 L,142 000 km,Bakı
Avatr 12,56 999 $,2024,0.0 L,0 km,Bakı
Hyundai ix35,24 900 AZN,2014,2.4 L,151 000 km,Bakı
Hyundai Accent,21 500 AZN,2016,1.4 L,118 000 km,Bakı
Khazar SD,12 800 AZN,2021,1.7 L,160 000 km,Bakı
Mercedes E 250,24 500 $,2013,2.2 L,223 088 km,Bakı
Toyota Land Cruiser Prado,32 000 AZN,2008,2.7 L,129 451 km,Gəncə
Mercedes E 240,17 800 AZN,2000,2.4 L,198 783 km,İmişli
Hyundai Grandeur,31 800 AZN,2014,2.2 L,172 330 km,Bakı
Mercedes C 200,10 900 AZN,1999,2.0 L,640 000 km,Bakı
Toyota Prius,11 200 AZN,2007,1.5 L,220 000 km,Sumqayıt
Mercedes GLE 450 4MATIC,78 000 $,2019,3.0 L,80 000 km,Bakı
Opel Astra,10 700 AZN,2006,1.4 L,212 145 km,Bakı
BMW 328,31 900 AZN,2015,2.0 L,143 500 km,Bakı
Chevrolet Volt,18 300 AZN,2011,1.4 L,230 000 km,Gəncə
Kia Sportage,27 000 AZN,2014,2.0 L,175 000 km,Bakı
Toyota Land Cruiser,34 800 $,2008,4.0 L,175 000 km,Bakı
Kia K5,29 500 AZN,2015,1.7 L,164 000 km,Bakı
Opel Vectra,5 000 AZN,1998,1.8 L,180 000 km,Bakı
Toyota Prius,9 500 AZN,2008,1.5 L,593 848 km,Bakı
BMW 520,21 900 $,2012,2.0 L,189 000 km,Bakı
Kia Carnival,87 900 AZN,2023,2.2 L,0 km,Bakı
Kia Stinger,22 900 $,2019,2.0 L,41 000 km,Bakı
Khazar SD,18 500 AZN,2023,1.7 L,0 km,Bakı
Kia Rio,13 600 AZN,2007,1.5 L,200 700 km,Gəncə
Hyundai Elantra,28 700 AZN,2019,2.0 L,68 880 km,Bakı
Hyundai i30,13 800 AZN,2007,1.6 L,322 000 km,Bakı
Mercedes EQC 400 4MATIC,50 500 $,2021,0.0 L,16 000 km,Bakı
BMW 530e,48 500 $,2021,2.0 L,51 000 km,Bakı
LADA (VAZ) 2115,9 600 AZN,2010,1.5 L,133 000 km,Bakı
Kia Sportage,25 800 AZN,2012,2.0 L,243 266 km,Bakı
Honda Civic,26 500 AZN,2016,1.5 L,191 000 km,Bakı
Hyundai Grandeur,21 800 AZN,2012,2.4 L,220 000 km,Dəliməmmədli
Mercedes C 300,29 800 $,2018,2.0 L,118 000 km,Bakı
Toyota Land Cruiser,30 500 $,2011,4.0 L,161 000 km,Bakı
Khazar SD,15 300 AZN,2022,1.7 L,35 000 km,Bakı
Ford Fusion (North America),18 000 $,2018,2.0 L,114 000 km,Bakı
Kia Cerato,14 300 AZN,2011,1.6 L,235 000 km,Bakı
LADA (VAZ) 21099,4 400 AZN,1994,1.5 L,230 000 km,Bakı
Mercedes C 230,10 500 AZN,1996,2.3 L,271 300 km,Balakən
Opel Astra,10 800 AZN,2005,1.4 L,297 000 km,Qəbələ
Kia Ceed,12 900 AZN,2009,1.4 L,249 000 km,Bakı
Nissan X-Trail,11 000 AZN,2001,2.0 L,229 000 km,Xaçmaz
Haval H6,33 000 AZN,2019,2.0 L,48 000 km,Bakı
Hyundai Grand Santa Fe,43 500 AZN,2015,2.2 L,87 000 km,Bakı
Hyundai Santa Fe,35 700 AZN,2016,2.0 L,190 000 km,Sumqayıt
Toyota Land Cruiser Prado,41 800 AZN,2011,2.7 L,221 000 km,Bakı
Chevrolet Aveo,12 500 AZN,2012,1.4 L,146 000 km,Naxçıvan
Mercedes E 240,16 800 AZN,2002,2.4 L,268 000 km,Bakı
LADA (VAZ) 2110,9 000 AZN,2010,1.6 L,25 300 km,Xaçmaz
BMW X5,24 800 $,2011,3.0 L,269 000 km,Bakı
BMW 528,18 800 $,2014,2.0 L,201 000 km,Bakı
Kia Sorento,34 500 AZN,2016,2.0 L,131 000 km,Bakı
